resume_text,jd_text,self_reflection,technical_score,communication_score,failure_reason
Concept Drift,Model Retraining,I failed to explain retraining strategies,36,53,Weak_Fundamentals
A/B Testing Platform,Statistical Design,I lacked experimental design knowledge,40,57,Weak_Fundamentals
Interview Preparation,Mock Interviews,I was nervous even in practice,67,28,Communication_Issue
Resume Review,Career Coach,I struggled explaining my experiences,66,27,Communication_Issue
LinkedIn Profile,Professional Branding,I could not articulate my value,68,29,Communication_Issue
Networking Event,Industry Contacts,I was awkward in conversations,69,30,Communication_Issue
Career Fair,Booth Conversations,I lost confidence quickly,67,28,Communication_Issue
Informational Interview,Learning Opportunity,I asked poor questions,66,27,Communication_Issue
Follow-up Email,Professional Communication,I wrote unclear messages,68,29,Communication_Issue
Thank You Note,Etiquette,I was unsure what to write,69,30,Communication_Issue
Salary Research,Market Analysis,I could not discuss compensation ranges,67,28,Communication_Issue
Job Search Strategy,Planning,I struggled articulating my goals,66,27,Communication_Issue
Capstone Project,Academic Evaluation,I explained only technical aspects,64,57,Project_Depth_Issue
Thesis Defense,Academic Review,I lacked critical analysis,65,58,Project_Depth_Issue
Research Proposal,Grant Application,I could not explain broader impacts,66,59,Project_Depth_Issue
Literature Review,State of Art,I failed to explain knowledge gaps,64,57,Project_Depth_Issue
Methodology Section,Research Design,I lacked alternative method discussion,67,60,Project_Depth_Issue
Results Analysis,Findings Interpretation,I could not explain implications,65,58,Project_Depth_
